loop,t_near,u_near,distance,a,b,abs_a,abs_b,a_zero,b_zero,a_even,b_even,a_even_nonzero,b_even_nonzero,a_prime,b_prime,norm,norm_prime,theta_mod_2pi,arg_zeta_mod_2pi,theta_mod_pi,arg_zeta_mod_pi
1,18.728650161402683,0.6666666666666666,0.0923731018113406,2,-1,2,1,False,False,True,False,True,False,True,False,5,True,0.4715924249656265,5.81159288221396,0.4715924249656265,2.6700002286241666
2,22.222584515102,0.3,0.34872356391954157,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.533086484582416,0.6085061690073773,2.533086484582416,0.6085061690073773
3,29.70641656537801,0.8666666666666667,0.04465014056683107,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,1.545859834825766,4.73732547235382,1.545859834825766,1.5957328187640272
4,31.721851747657738,0.5166666666666666,0.07862686372640694,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.144726920769635,6.280051039999744,0.0031342671798419985,3.138458386409951
5,33.55313098581025,0.13333333333333333,0.0711301442431958,0,1,0,1,True,False,True,False,False,False,False,False,1,False,4.653164667731666,1.6300206394479209,1.5115720141418727,1.6300206394479209
6,39.86371447704631,0.6833333333333333,0.0423169734733046,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,3.9354844949385033,5.489293465830877,0.7938918413487102,2.347700812241084
7,42.40355356766461,0.6166666666666667,0.09228057205232335,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.038180232118882884,6.245005075060704,0.038180232118882884,3.103412421470911
8,44.41846180463932,0.23333333333333334,0.12312832667762215,1,2,1,2,False,False,False,True,False,True,False,True,5,True,1.9853110602780113,1.1562815933117827,1.9853110602780113,1.1562815933117827
9,48.77176295229764,0.43333333333333335,0.3026172315225524,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.062469256692104125,6.220716050487483,0.062469256692104125,3.07912339689769
10,51.74448438388315,0.6166666666666667,0.023515781260120588,2,0,2,0,False,True,True,True,True,False,True,False,4,False,3.152810584234313,6.271967376535067,0.011217930644519924,3.130374722945274
11,56.04285792002498,0.8833333333333333,0.08402677419255175,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,1.4879191139085535,4.7952661932710345,1.4879191139085535,1.6536735396812414
12,58.28391247789405,0.6333333333333333,0.13309786033775053,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,3.961998191846824,5.462779768922557,0.820405538257031,2.321187115332764
13,60.21268107335309,0.5833333333333334,0.42474617273578824,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.1258874721594125,0.15729783502017516,2.9842948185696194,0.15729783502017516
14,62.90107205756075,0.48333333333333334,0.05645422093113891,4,1,4,1,False,False,True,False,True,False,False,False,17,True,2.910148235525547,0.23144441806424768,2.910148235525547,0.23144441806424768
15,65.7685237892333,0.3333333333333333,0.04825527190625202,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.245182046857167,0.03800326032242112,3.1035893932673737,0.03800326032242112
16,67.86037774674344,0.31666666666666665,0.18959031378128682,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.434559894401424,0.7070327591883708,2.434559894401424,0.7070327591883708
17,71.05891381242566,0.6,0.047380640958102994,2,0,2,0,False,True,True,True,True,False,True,False,4,False,6.277236139677157,0.0059491675024309805,3.135643486087364,0.0059491675024309805
18,72.3699353648855,0.08333333333333333,0.0731466788870413,0,1,0,1,True,False,True,False,False,False,False,False,1,False,1.5900837591232957,1.5515088944664994,1.5900837591232957,1.5515088944664994
19,76.28086253729762,0.4,0.39975394926352037,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.13777881335723663,6.145406493822351,0.13777881335723663,3.0038138402325583
20,78.09482151758748,0.43333333333333335,0.16120467217130438,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.4127871079331555,0.7288055456566399,2.4127871079331555,0.7288055456566399
21,81.60043692993004,0.6333333333333333,0.015029037022017935,3,-2,3,2,False,False,False,True,False,True,True,True,13,True,0.585512871021443,5.697672436158146,0.585512871021443,2.5560797825683528
22,83.51879376867502,0.3333333333333333,0.14760082301781685,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.0559871620914265,0.08560549149836917,3.0559871620914265,0.08560549149836917
23,85.4077581814887,0.25,0.03090327902165717,1,1,1,1,False,False,False,False,False,False,False,False,2,True,5.510142087954691,0.7730432192248982,2.3685494343648976,0.7730432192248982
24,88.27854168310432,0.6166666666666667,0.3142938949993963,1,0,1,0,False,True,False,True,False,False,False,False,1,False,2.996547412997465,0.14504524059233076,2.996547412997465,0.14504524059233076
25,90.03641952800834,0.3333333333333333,0.10778458443144201,2,3,2,3,False,False,True,False,True,False,True,True,13,True,5.327937953690046,0.9552473534895427,2.1863453001002533,0.9552473534895427
26,93.67961303407796,0.55,0.006131416383648754,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,3.930815291678158,5.493962669091224,0.7892226380883649,2.352370015501431
27,95.34211339552445,0.5666666666666667,0.49173879869169496,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.1841850377767855,0.0990002694028039,3.0425923841869924,0.0990002694028039
28,96.90697478841219,0.35,0.06159463059032517,1,2,1,2,False,False,False,True,False,True,False,True,5,True,2.0352766792499395,1.106315974339857,2.0352766792499395,1.106315974339857
29,99.66018406076402,0.3333333333333333,0.12927344058923576,2,1,2,1,False,False,True,False,True,False,True,False,5,True,5.820860808283221,0.4623244988963683,2.6792681546934283,0.4623244988963683
30,102.24039272289788,0.3833333333333333,0.0668122407542065,2,0,2,0,False,True,True,True,True,False,True,False,4,False,3.119933773192045,0.021658880397751545,3.119933773192045,0.021658880397751545
31,104.50026805409479,0.45,0.016640817068543666,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.0010452259696123178,6.2821400812099775,0.0010452259696123178,3.1405474276201844
32,106.70925175912424,0.7333333333333333,0.02416653949565528,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.117705206957389,0.023887446632407962,3.117705206957389,0.023887446632407962
33,108.39133829499764,0.31666666666666665,0.11603429531768673,3,3,3,3,False,False,False,False,False,False,True,True,18,False,5.506325058279494,0.7768602489000965,2.3647324046897005,0.7768602489000965
34,111.36767516438609,0.4,0.7133728096078233,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.4814939638477256,5.943283996921658,0.33990131025793247,2.801691343331865
