n,gamma
10001,9878.6547723856922881889374071462806
10002,9879.0367333965687307100358186647545
10003,9879.8844905968000893612007420245718
10004,9881.1023608653537870149695201097516
10005,9882.1922159663332571635235105850089
10006,9882.8319608450388682638674951629025
10007,9883.6480494375128205371515302951690
10008,9884.8209805002718868013905790630218
10009,9885.4172357860227646394314984336374
10010,9885.8312090036904435508916072248589
10011,9886.9277107358406537623102081124067
10012,9887.4956187367711831489941327045399
10013,9888.3615578932027440678997692867574
10014,9890.1235083974776363487165496604089
10015,9890.4575239428004682978134187832718
10016,9891.6286252082844650387969975846115
10017,9892.0177846604998094723616993726426
10018,9892.8829515962444084510592815928253
10019,9893.9641404441503321490262473894862
10020,9894.7731483187468826511581324520355
10021,9895.5973600993072392311912696302024
10022,9896.0233388001582232973254874356119
10023,9897.2874390893475250381521972351895
10024,9898.1829597458873295651876973382225
10025,9898.4054557950659041013057523873231
10026,9900.1252868175583794163254180407904
10027,9901.0661400058951779717236780241589
10028,9901.8259662366845526174994269935056
10029,9902.4144835380970230262618785776674
10030,9903.1566189687683202367844368557390
10031,9903.7914393954310314836955761971631
10032,9904.8927607322665886663042361179022
10033,9905.4932543812188213439417818413654
10034,9906.6648730624181684374729273317823
10035,9907.4343850376642456239215218516264
10036,9908.6021501166924856853558175562797
10037,9909.2720606136065068917472048522308
10038,9910.3494480258567594653211734879787
10039,9910.6814296517632716623337945471546
10040,9911.8319816655439820704340175590903
10041,9912.7384675299187043500124757834243
10042,9913.7387051393375989864554580842768
10043,9914.2114245748375618801905902122044
10044,9914.6535652321478447744418094940929
10045,9915.5961736341914874057631133211672
10046,9917.0679134235133226070734451168218
10047,9918.1384312556507744878746930051083
10048,9918.7059729059983634336694834810569
10049,9919.6258352471001964563021303821967
10050,9920.3766106975969555114088936557011
10051,9921.2435194273593602979201875240711
10052,9921.7155303566803720858084733124809
10053,9922.5540202056913731887651361288932
10054,9923.8799351386647441932441741380234
10055,9924.4330661536501119681763808106625
10056,9925.2730416474083171646263809096418
10057,9926.4130618085840944848862988219848
10058,9927.1514351497436536117382388666867
10059,9927.8643837111849446018962950686038
10060,9929.4429997534946719016225952068114
10061,9929.7614730665526121382935911006828
10062,9930.4262133788457504668708094610887
10063,9931.2560527431419551045664164247948
10064,9932.2691318446218144560331110369790
10065,9932.6509547582334510867761594209137
10066,9933.8264540843560656340742199976968
10067,9934.5271617849265056685882996083635
10068,9936.2972153196166367594575648953848
10069,9936.7998627638181649625027904968486
10070,9937.3750817770394031790621876842981
10071,9938.0902921996184679918877847349481
10072,9938.8842244509782915305529207636215
10073,9940.0576878463322323299745933946074
10074,9940.7958595986523159505261985857414
10075,9941.5004845142152174316789483579508
10076,9942.4871134715168674613339494767770
10077,9942.8969821249820775245586348452684
10078,9944.1959738104679825928548914018923
10079,9945.1654202466621511252173928654836
10080,9946.0888486121861659932308276274127
10081,9947.0646287454178494740848795458366
10082,9947.5911019865498395026154464453829
10083,9948.7420447378786449697254374703717
10084,9949.1029997431718024956250686524902
10085,9949.9909121111677549364628555849726
10086,9950.3988455319559399143873587521281
10087,9951.9073649287110932185108750590877
10088,9952.8543727435918357332580830757092
10089,9953.8667836031514659127512746797857
10090,9954.1825843687031152485649029813623
10091,9955.7240335890228891306171642846872
10092,9956.0683366906473465207952371657077
10093,9956.8101399226146276783927565075689
10094,9958.0079994546804558827260471699354
10095,9958.6496984491248995187749665635662
10096,9959.5129871886235562593120406753070
10097,9960.2953556280366712714847763241728
10098,9960.8565478433913893362672028904345
10099,9961.7708683042987110890048461123498
10100,9963.3269319907364226649687807341503
10101,9964.1552674246420875159168002706140
10102,9964.8384698041838788215639940377615
10103,9965.7260871731017347437746963296569
10104,9966.2082176779627772721637012300480
10105,9966.8663433845341691647154152652083
10106,9968.0624741337537483788385873624415
10107,9969.0333717909065543986206057118610
10108,9969.3106277819152281536399156474097
10109,9970.5708599350578288987494594621538
10110,9971.7900122012324842337049606339040
10111,9972.3963380911936770343868867924394
10112,9973.1158303645141887970177020236437
10113,9973.9880189036993369604606267835450
10114,9975.1851486297969374962041368131753
10115,9976.0764486381547100602904522113350
10116,9976.5562701674531579907645459133565
10117,9976.9566715112670715068352146135351
10118,9978.3327709058726262005488833343675
10119,9978.6251884985964418596890896872816
10120,9979.8898598331094596225987066154931
10121,9981.3290764193070915582585924661788
10122,9981.8310915648401460789922577373908
10123,9982.7328728152779593510076824559707
10124,9983.5530131380422511597805280638822
10125,9984.1527078304241068911545626537566
10126,9985.0676248953077592056513040894166
10127,9985.6254698443536367588833388031702
10128,9986.9811634992853190797604524416416
10129,9987.7024309277937642587827100013051
10130,9988.3131415336206538728119287057061
10131,9989.1332834815873527009886198758605
10132,9990.2303328836741079556481311592916
10133,9991.4458909776034637470562399101675
10134,9992.2531503203287631229501836968096
10135,9992.7351435056077679719390692190120
10136,9993.6669482847551253058036997348497
10137,9994.6200854726695122320594485877081
10138,9995.1906008512830250269198879459564
10139,9995.8772319609728632868061526944269
10140,9996.5569339621118690934944911959318
10141,9998.0948603349750323751056063150804
10142,9998.8503970896740490576317566258305
10143,10000.0653454145353147502287213889928
10144,10000.6518473237679051652519936027656
10145,10000.9181789556117257570213697629462
10146,10002.2791222728886154882113785932532
10147,10002.9803275122251253273894016685690
10148,10004.0470538281690426979856729696783
10149,10004.6794041660652330272536433445530
10150,10005.3103317276405654268957740534390
10151,10006.0527568746541575593133193220939
10152,10007.3728759723866854547804630977750
10153,10008.0342452428144199785262473546490
10154,10009.0992647234766631588223847087191
10155,10010.3962601978812851575738360238718
10156,10010.8591451582473968805847877460454
10157,10011.5516428824581079699892445371321
10158,10012.0983748600153726376032650707553
10159,10013.0330666851026614714928843275353
10160,10013.8368104905068608664433733200038
10161,10015.0553974139132309268904668763087
10162,10015.6109601522439855398154706480087
10163,10016.6555086606756456846114276040437
10164,10017.8286068546771195875125165436631
10165,10018.3807318777427104207177376827637
10166,10019.1211524657803903125318384569296
10167,10020.3312516061626168828241508550098
10168,10020.8104921832855049545030532604750
10169,10021.8831785422965042072212462363903
10170,10022.5919748397634735918339929765410
10171,10023.3276906183922168866923685875750
10172,10024.0667396399921327329785861931151
10173,10024.5380955417413586410432779502913
10174,10026.5333895400228704703307286056299
10175,10027.3348157088100358384318645963777
10176,10027.6934478747153393901380736698289
10177,10028.6124920245213568181427468582132
10178,10029.4312753348066231882501415856888
10179,10030.4069453622643454331967246271633
10180,10030.7479208925525179630995843386577
10181,10032.0139974285644635984924876023991
10182,10032.5443730200436765750655105378912
10183,10033.8987634987231173133835656727528
10184,10034.3622650172631393008520285876544
10185,10035.3550326245995795895661589502871
10186,10036.3571790577226054723921634203085
10187,10037.2010159114633684618391072063897
10188,10038.1853952825543616292949853526735
10189,10039.0911084439150074864148850267097
10190,10039.5869056092771071793201181138709
10191,10040.3236334842289259136807450352453
10192,10040.9216629035224459975827263441256
10193,10042.1655113921751441222002929656282
10194,10042.7408835313709767753694229263795
10195,10044.1060763467829035350308807703301
10196,10045.0278035347015698827779774699680
10197,10045.8577571603222490651442543527038
10198,10046.6966565815642988229209854272569
10199,10047.3170835025480902231704797436165
10200,10047.5924396019995710448715302419414
10201,10049.3913282782890284644071673065587
10202,10049.9263254623127878961607981251439
10203,10050.4863408849404798702722434476565
10204,10051.3490575942561322981129996111879
10205,10052.1635556700942265332481045217576
10206,10053.3271930072922384096305071048546
10207,10054.3548502983694322418981553809352
10208,10055.2031773004785303349920926354321
10209,10056.1439562798753372111367920144756
10210,10056.6172492753842080877774956050775
10211,10057.6030149087245295855935163247572
10212,10058.3291234193884711821863038100134
10213,10058.8119341920196306713134459957668
10214,10059.8447759597814642922614251497903
10215,10060.7753291797154287576354200394643
10216,10062.3095123537727674016824055344014
10217,10062.6561918689873046655721936216784
10218,10063.4792548287469928017697722897364
10219,10064.3110953583932410396195246828744
10220,10065.3254532336785902585686229301341
10221,10066.3453781878194493669940166455688
10222,10066.7134060513013249962646172748821
10223,10067.6360206173479551731571478186778
10224,10068.6989693524218947679333712154094
10225,10069.2535512397856668316887039443803
10226,10069.8326706787723132800630525568016
10227,10071.0996190674156100855882298808128
10228,10072.3557417830754910880483987014092
10229,10073.4792142530780051027668778707069
10230,10073.6486430705625522697957446759813
10231,10074.5896540159679172428614933421122
10232,10075.2918725284226773727745643101862
10233,10076.1129375750764739669630993457701
10234,10076.8351414309776920337607902461817
10235,10078.1105336613647181061212156781556
10236,10078.8374576019166898322323111105468
10237,10079.2438645013690364151251090110717
10238,10080.8601667245409679415583445778751
10239,10081.5499878343680340152885072242668
10240,10082.1717898278746356099796032945279
10241,10083.0068316505228259627277510584945
10242,10084.4145665266324229737721036775472
10243,10084.6927852274386349524317018417673
10244,10085.7650526993992994732794762933525
10245,10086.2990547191840731710661937727094
10246,10086.6884072002115449252213349955624
10247,10087.9851492526880698979319511755549
10248,10089.2714098182245122864148328994123
10249,10090.0589936324962169134618610643618
10250,10091.0299584347247559243253065661876
10251,10091.7991435515537203299618209498690
10252,10092.3387676108497748725323512768751
10253,10093.2205395520837694343315235933827
10254,10094.0851668566052929597604201725540
10255,10094.8520381212106660487841315844434
10256,10095.8713787962706988749973952549130
10257,10096.5935344306335831987696119723719
10258,10097.4354738812735235639003943610933
10259,10098.3490340043381245785764377880231
10260,10099.0693238654243344508912567264573
10261,10100.6921965230212276193997583406898
10262,10101.0573032144133273662458949370630
10263,10102.0521805781082238336806092825033
10264,10102.5062728764833296770568379216663
10265,10103.2796501051439068598011014230416
10266,10104.3999156742591052709370708791803
10267,10104.9890146221194425355109906387387
10268,10105.5460353390682784064387220787916
10269,10107.0480631476859964965200162232985
10270,10108.2781906509132446716451344807455
10271,10108.6495609332289243036968496121061
10272,10109.4779102960557641174232309222341
10273,10110.3415545270100489227093427341010
10274,10110.9891282819817445607843358560709
10275,10112.2042586324042178080798458025409
10276,10112.9408793968232563273135692599758
10277,10113.8490202956049138054837140824752
10278,10114.0141533314146845701491812787605
10279,10115.2774314987819796663592228294961
10280,10116.0124986788282150384954096564835
10281,10117.5514032037189070874353633040612
10282,10118.1752934081326664264719549423660
10283,10118.7905800368844330586264819717979
10284,10120.2587624753679640449274072714156
10285,10120.4739866507377398254792161473506
10286,10121.0756505177240747771782641919240
10287,10121.8118723884405129584731513837762
10288,10122.9380998108588304967799081840987
10289,10124.1036830345445857946954568469385
10290,10124.6182050045830439050470395953491
10291,10125.6855793052029309690177799852637
10292,10126.5965467283307314885118761008997
10293,10127.4471357799663349334632091472072
10294,10128.2812822257759144766654981844474
10295,10129.0283099298586573392692201655196
10296,10130.0457544099775490312321496201361
10297,10130.8498109229087661520028981000648
10298,10131.3354578251097399861735202127983
10299,10132.2999139953060467210418904675925
10300,10132.9971043057780593330985846081134
10301,10133.7420028628731441532162414398759
10302,10135.4060366921849084211461286341520
10303,10136.3029860371226538111836918294510
10304,10136.9619567443868156199949945565396
10305,10137.3477190680679142324842550145214
10306,10138.2580816648422347727354476904766
10307,10139.1785106219706002771037172482668
10308,10140.1717755465370031936208906892879
10309,10140.7499960611550738481930151333353
10310,10141.6251827934170616022622043357877
10311,10142.5573236981052891822175583455511
10312,10143.5538340665360871009090474211591
10313,10144.5591620337900589578242981260175
10314,10144.9218243893097588500454855159795
10315,10146.3755334322337108680960706486002
10316,10147.3609319542135646120825497834388
10317,10147.6070439875042177151451154872118
10318,10148.5590614781811119326610904976269
10319,10149.4521049975305997252896848154893
10320,10149.8341390021858933091830446169046
10321,10150.7601945666126725391280224901347
10322,10152.1794697177341524495739815089829
10323,10152.9419221522966258993687093186475
10324,10153.9657553214452762427507188701991
10325,10154.6806562114423282929526913981400
10326,10155.6445402635240846313443179573198
10327,10156.0612745178713326769825857996876
10328,10156.9980889000763659775816300164790
10329,10157.8214231238546299357222251998215
10330,10159.1017647921939530640500709213442
10331,10159.5513018885945565554979631241722
10332,10160.3456786784813975319370550473185
10333,10160.7441665517481212943865917892556
10334,10162.7284963348352014904805036824114
10335,10162.9526659409376512925034838943529
10336,10164.4970459036623031140788375552280
10337,10164.6827370744391793379149105542644
10338,10165.5906231485723999808375894708312
10339,10166.6152469688033460470115408161155
10340,10167.0129705145057646347995245615817
10341,10167.8426650676807929679915214434225
10342,10168.8387738779122418197450367731379
10343,10169.7392760196205728085555128944867
10344,10170.9928974833248219885546711251033
10345,10171.7535415164770870519303280061411
10346,10172.6022298971218799397535419987155
10347,10172.9903019011458908965541235686553
10348,10174.1292388169500071651622796566217
10349,10175.3674879294667982305296719446934
10350,10175.9131660565596439288157971674713
10351,10176.3270659172262465331883836280396
10352,10177.3029280062566663560312173484597
10353,10178.2687234583396457109427189231164
10354,10178.9349787308229561028668969523382
10355,10179.9473330140238463637779410581427
10356,10181.4037795635961302411411113376433
10357,10182.0155760319270457655869112069263
10358,10182.9354996749668714491163964915213
10359,10183.2709415328969037914529476733318
10360,10184.3701035693397675344455402733514
10361,10184.6642982153743896188984985125205
10362,10186.1111725213348588157109185880766
10363,10186.7972021139253472558482404364416
10364,10187.5044708418129239435551503565254
10365,10188.7541591147693625170489130024153
10366,10189.1802397886631619846546922287616
10367,10190.5432019846843822640601207471741
10368,10191.2227194727056185914129590351263
10369,10192.1016481857766433170484425710594
10370,10192.7325768148774322332707520154053
10371,10194.0230700673911103170098315350579
10372,10194.4334540499587899451732059692533
