m,log_m,score_at_log_m,local_peak_omega,local_peak_delta,local_peak_score
2,0.6931471805599453,3.718262810203001,0.6930000000000001,-0.00014718055994522583,3.718262810203001
3,1.0986122886681098,2.9171218596541033,1.0975000000000001,-0.00111228866810964,2.934236922364051
4,1.3862943611198906,2.5822576943918896,1.3855,-0.0007943611198906186,2.58972992869259
5,1.6094379124341003,2.2438171485113556,1.6095000000000002,6.208756589987097e-05,2.2438171485113556
6,1.791759469228055,2.2055696122052333,1.7925,0.0007405307719450249,2.2145881394573643
7,1.9459101490553132,1.7224596390803673,1.9449999999999998,-0.0009101490553133917,1.7313465391740874
8,2.0794415416798357,1.7441151590909265,2.081,0.0015584583201642133,1.7553633586908468
9,2.1972245773362196,1.6061364603488624,2.1935000000000002,-0.003724577336219337,1.7085474154159044
10,2.302585092994046,1.6978299161176018,2.3045,0.0019149070059540918,1.733428501818112
11,2.3978952727983707,1.2287236828108279,2.3905,-0.007395272798370822,1.3119221133653893
12,2.4849066497880004,1.6195200157496812,2.4939999999999998,0.009093350211999418,1.7604353152067755
13,2.5649493574615367,1.137370121782174,2.562,-0.0029493574615369056,1.2397499191999843
