rule,q,iy,ix,dx,dy,count_comb_score,residual_comb_score
winding,8,0,0,0.0625,0.0625,2.0381082905737684,1.1238825043544884
winding,8,0,1,0.1875,0.0625,2.0428373266388946,1.070088748764709
winding,8,0,2,0.3125,0.0625,2.0404228664009594,0.934098677111651
winding,8,0,3,0.4375,0.0625,2.041216477897044,0.9096455071449676
winding,8,0,4,0.5625,0.0625,2.0401773258095957,0.8923855474754427
winding,8,0,5,0.6875,0.0625,2.0373407666420085,0.8385484932553143
winding,8,0,6,0.8125,0.0625,2.043024346551325,0.8270017910449812
winding,8,0,7,0.9375,0.0625,2.038827521088311,1.0604889457034028
winding,8,1,0,0.0625,0.1875,2.0437493072582327,1.1203004193255381
winding,8,1,1,0.1875,0.1875,2.04243402941106,0.9540217500343305
winding,8,1,2,0.3125,0.1875,2.0446471527936416,0.8623150480614838
winding,8,1,3,0.4375,0.1875,2.042254716739467,0.8124169341499604
winding,8,1,4,0.5625,0.1875,2.0374266254494633,0.8853838542332797
winding,8,1,5,0.6875,0.1875,2.04392767577026,0.7931064958373075
winding,8,1,6,0.8125,0.1875,2.042764004716717,0.8853692003128142
winding,8,1,7,0.9375,0.1875,2.038521856250706,1.025485828935826
winding,8,2,0,0.0625,0.3125,2.041471763481099,1.0225146312620732
winding,8,2,1,0.1875,0.3125,2.03487538038493,0.8803049108399068
winding,8,2,2,0.3125,0.3125,2.04240215754208,0.8172379297490021
winding,8,2,3,0.4375,0.3125,2.038675258337476,0.8243612593681583
winding,8,2,4,0.5625,0.3125,2.0372640459909857,0.8923371595556945
winding,8,2,5,0.6875,0.3125,2.0345579622313665,0.8291809917702349
winding,8,2,6,0.8125,0.3125,2.0345101197843882,0.9224274105152851
winding,8,2,7,0.9375,0.3125,2.042164725406505,1.0378186561907472
winding,8,3,0,0.0625,0.4375,2.0454783962005636,0.8666390985990483
winding,8,3,1,0.1875,0.4375,2.0357928229818945,0.8479216707353574
winding,8,3,2,0.3125,0.4375,2.045360611185538,0.8211306697720978
winding,8,3,3,0.4375,0.4375,2.0409799839087794,0.8094636245153236
winding,8,3,4,0.5625,0.4375,2.036283493630136,0.8072869039151227
winding,8,3,5,0.6875,0.4375,2.0392551082687036,0.8202200811781438
winding,8,3,6,0.8125,0.4375,2.036913705328884,0.841907422536277
winding,8,3,7,0.9375,0.4375,2.0412047174454546,0.8992043155217128
winding,8,4,0,0.0625,0.5625,2.0458231161894633,0.8358073254908329
winding,8,4,1,0.1875,0.5625,2.0446631440664302,0.8183787295299082
winding,8,4,2,0.3125,0.5625,2.043241328586203,0.8722544447467593
winding,8,4,3,0.4375,0.5625,2.047719519088883,0.8404770197878128
winding,8,4,4,0.5625,0.5625,2.043066911239451,0.7988714052586355
winding,8,4,5,0.6875,0.5625,2.0390859038245903,0.839105265454056
winding,8,4,6,0.8125,0.5625,2.0394995414388535,0.90807304179875
winding,8,4,7,0.9375,0.5625,2.0395277800614786,0.9161103400546552
winding,8,5,0,0.0625,0.6875,2.047793584580164,0.9604080954650285
winding,8,5,1,0.1875,0.6875,2.044780272133943,0.9186347728400337
winding,8,5,2,0.3125,0.6875,2.043439077544327,0.9273096361938779
