iy,ix,dx,dy,residual_comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
0,0,0.03125,0.03125,1.14083830490252,4.999750012499375e-05,0.7923077880064602,0.8858862126242526,0.9444322674408717,0.00039998000099995
0,1,0.09375,0.03125,1.1137256486155078,4.999750012499375e-05,0.7930464793846205,0.8712479114049854,0.9086382737133099,0.00039998000099995
0,2,0.15625,0.03125,1.0104746289015454,4.999750012499375e-05,0.7865142293759347,0.8576778484875229,0.8966860652078285,0.00039998000099995
0,3,0.21875,0.03125,1.0031762643166824,4.999750012499375e-05,0.792920625703136,0.8582073663528428,0.8868852908985555,0.00039998000099995
0,4,0.28125,0.03125,0.9904474443812261,4.999750012499375e-05,0.81464167337789,0.8784854544004436,0.9064633829639651,0.00039998000099995
0,5,0.34375,0.03125,0.9405347669749292,0.0006499675016249188,0.8084478125088065,0.8753888435454088,0.902998998121564,0.00255987200639968
0,6,0.40625,0.03125,0.9262423988321123,0.0006499675016249188,0.7993275080025898,0.8680431364225263,0.8962610542577096,0.00255987200639968
0,7,0.46875,0.03125,0.915245269336958,0.0004999750012499375,0.7870155900451488,0.8524009651747098,0.8773788885130267,0.0020644129083868387
0,8,0.53125,0.03125,0.8532221690944256,0.05934703264836758,0.7906065644337422,0.8565439736882046,0.8848659285745999,0.09615721745558292
0,9,0.59375,0.03125,0.8443527267568497,0.09869506524673766,0.7936337607728206,0.8593437471047708,0.8855726130223173,0.1435564585407093
0,10,0.65625,0.03125,0.8482549854064209,0.11949402529873507,0.8018224885339575,0.8673877192708578,0.8933947077283519,0.16994705820264544
0,11,0.71875,0.03125,0.8279762071094443,0.1975901204939753,0.7926384337980394,0.8620847113457599,0.891167624012875,0.25852108409807933
0,12,0.78125,0.03125,0.7962872345794966,0.4686765661716914,0.792959438220733,0.8604200141235783,0.8876816018455657,0.5020133930541967
0,13,0.84375,0.03125,0.7938121912577594,0.38038098095095246,0.781671910844667,0.8471514236863738,0.874851788976672,0.42897590803279223
0,14,0.90625,0.03125,0.8880856739269555,0.0111994400279986,0.7968227053370187,0.862815484826834,0.889219456758029,0.0245047576680995
0,15,0.96875,0.03125,1.0434740620706466,4.999750012499375e-05,0.7991585436958897,0.8715662338620683,0.9101757316820854,0.00039998000099995
1,0,0.03125,0.09375,1.1396246590986674,4.999750012499375e-05,0.7987080926128476,0.8989261953468642,0.9595451200965466,0.00039998000099995
1,1,0.09375,0.09375,1.0925226101931147,4.999750012499375e-05,0.7934197432488315,0.876905802353038,0.9221539547683457,0.00039998000099995
1,2,0.15625,0.09375,1.0527209006619775,4.999750012499375e-05,0.8061730338475916,0.8792906939321168,0.9170433755289134,0.00039998000099995
1,3,0.21875,0.09375,1.0064286480938578,4.999750012499375e-05,0.7941702070704635,0.8687407113632403,0.900250164265828,0.00039998000099995
1,4,0.28125,0.09375,0.972764792310881,9.99950002499875e-05,0.7916935922740965,0.8608695917275885,0.8915624458598839,0.0006399680015999199
1,5,0.34375,0.09375,0.882994714157254,0.010149492525373732,0.7860421890796575,0.8541273810381435,0.8833641692209137,0.022904117951997136
1,6,0.40625,0.09375,0.8786377914364939,0.010349482525873706,0.79219878321732,0.8536892355488181,0.8790211543836793,0.02295057660910058
1,7,0.46875,0.09375,0.8821818264697213,0.012599370031498426,0.7904849543764572,0.8583781743142529,0.8860722267231426,0.026223079089947945
1,8,0.53125,0.09375,0.9358751691236872,0.0014499275036248187,0.8124656575493072,0.8805972921666871,0.911141470270857,0.004472065553348838
1,9,0.59375,0.09375,0.9236847871056377,0.006249687515624219,0.8206134127225282,0.8877430671716986,0.9164529240398559,0.015840792118809902
1,10,0.65625,0.09375,0.8531456457472318,0.264136793160342,0.8269104331512154,0.8967613592086254,0.9270130562943794,0.3250914377358055
1,11,0.71875,0.09375,0.8807285242305772,0.07134643267836609,0.8153926765502195,0.8884451920673744,0.9171142797673653,0.11205329304086943
1,12,0.78125,0.09375,0.8272617398104046,0.24288785560721965,0.7993223683915218,0.8654061806502905,0.8916691831662196,0.3063019262829962
1,13,0.84375,0.09375,0.8902972674579613,0.007749612519374031,0.7953914977541514,0.8590435539444938,0.885998503817891,0.01871604532980898
1,14,0.90625,0.09375,0.9677636863817293,0.00014999250037498125,0.7840276586969486,0.8509415316727206,0.8832766293591233,0.0008169804275743659
1,15,0.96875,0.09375,1.0915306248428218,4.999750012499375e-05,0.7894694941482211,0.8718259547833882,0.9257540775468975,0.00039998000099995
2,0,0.03125,0.15625,1.0710655732323946,9.99950002499875e-05,0.7953659969439673,0.8878858745982844,0.9449553023207576,0.0006399680015999199
2,1,0.09375,0.15625,1.023407294393651,0.00014999250037498125,0.7940348879532823,0.8757957905274734,0.9219500208242557,0.0008169804275743659
2,2,0.15625,0.15625,0.9808686135324084,0.00014999250037498125,0.7942771940828983,0.8702460979112612,0.907062110921587,0.0008169804275743659
2,3,0.21875,0.15625,0.9378784697581114,0.00034998250087495624,0.7859663314704497,0.859729255890338,0.8928251402758782,0.0015999200039998
2,4,0.28125,0.15625,0.959984649006504,0.000199990000499975,0.8043171788409251,0.87307172727313,0.8996318711463689,0.0010448457168978286
2,5,0.34375,0.15625,0.838273906123184,0.2246887655617219,0.8085830508657765,0.8751471286986848,0.9021963636270652,0.287601619919004
2,6,0.40625,0.15625,0.849761794151335,0.07299635018249087,0.7915529822666694,0.8577950415103126,0.8853009175404429,0.11394552223608331
2,7,0.46875,0.15625,0.8326495981295835,0.1472926353682316,0.7915165365819428,0.8562620632217293,0.8820175145945032,0.199804746604775
2,8,0.53125,0.15625,0.8717436982136237,0.06754662266886656,0.8111366386986696,0.8775808835286404,0.9066373253407372,0.10674034199524592
2,9,0.59375,0.15625,0.913492811024439,0.006849657517124144,0.8128545914367498,0.8799544165517388,0.9080321906407831,0.01702439149887166
2,10,0.65625,0.15625,0.8553581659542923,0.1167941602919854,0.8092131661597906,0.8736280343283047,0.9014411589239704,0.16703522365781154
2,11,0.71875,0.15625,0.8095814859207965,0.567621618919054,0.8164164813523266,0.8814704881455314,0.9102520390275851,0.5906956684686091
2,12,0.78125,0.15625,0.8942169201929895,0.011499425028748563,0.8063895697131513,0.8702458486688098,0.8961488770383202,0.024947905147115527
2,13,0.84375,0.15625,0.9229286274553711,0.0006999650017499125,0.7923780376380531,0.8590056670806446,0.8862420266570082,0.0025969716006953277
2,14,0.90625,0.15625,1.0265055051282665,4.999750012499375e-05,0.7903863991928679,0.8610933202855192,0.8939846275299078,0.00039998000099995
2,15,0.96875,0.15625,1.0578144720748577,9.99950002499875e-05,0.7863241536915712,0.8690751482831014,0.9146119714701972,0.0006399680015999199
3,0,0.03125,0.21875,1.0517367708140946,4.999750012499375e-05,0.7952965399026389,0.8728058526719493,0.9215142385113883,0.00039998000099995
3,1,0.09375,0.21875,1.0402287565542943,4.999750012499375e-05,0.7883194934108482,0.8667383278127949,0.9131666626354543,0.00039998000099995
3,2,0.15625,0.21875,0.9568130863022103,0.00024998750062496874,0.7878899863029442,0.856304823755364,0.8898303387573411,0.0012307076953844615
3,3,0.21875,0.21875,0.9240595813279572,0.0014499275036248187,0.7961087663256647,0.8634110264237801,0.8924001965311216,0.004472065553348838
3,4,0.28125,0.21875,0.8629967461906051,0.03639818009099545,0.7968953486773449,0.8574993283470093,0.8821015553302283,0.06426161450548162
