block,loop_start,loop_stop,source_half,T_median,T_mean,log_T_over_2pi,area_score,area_null_median,area_null_q95,area_null_q99,area_E95,area_p_jitter,area_best_shift,area_abs_best_shift,mean_score,mean_null_median,mean_null_q95,mean_null_q99,mean_E95,mean_p_jitter,mean_best_shift,mean_abs_best_shift,zero_mode_variance,residual_mean_square,residual_variance_fraction,count_map_median,residual_map_q05,residual_map_median,residual_map_q95
1,1,1000,calibration,812.6931223080591,790.3724409609994,4.8624765085455275,0.9307463321606628,0.8757027492200087,1.1083605365003568,1.1997053426979154,0.23658603300618386,0.3424328783560822,0.030500000000000027,0.030500000000000027,0.9308441716813751,0.8738975429232938,1.112386899845027,1.2125467812713324,0.2387805874992145,0.34048297585120746,0.030500000000000027,0.030500000000000027,371.45768315887443,0.5717616882324219,0.0015368721378153257,0.9282155810058794,0.571344155002303,0.7889847790510087,1.0522747175707492
2,1001,2000,calibration,1981.767715020207,1977.575750032208,5.753867444347168,1.0881075925594155,0.9212997851260619,1.1530886581121922,1.2592123488211957,0.7196540769380891,0.11624418779061046,-0.007750000000000007,0.007750000000000007,1.0880133898663447,0.9223326786844035,1.1526635786360637,1.2533296187918024,0.7193160414721287,0.11254437278136094,-0.007750000000000007,0.007750000000000007,692.2633368847046,0.5997804565429687,0.0008656550500833862,1.08929287077675,0.6892399541215108,0.8743541322273229,1.053824778813969
3,2001,3000,calibration,3032.504850040366,3030.10377734207,6.17926717376137,1.5345305944835106,0.9293369170047471,1.1842011603597264,1.3037515708169343,2.3745727117783217,0.00014999250037498125,-0.011749999999999983,0.011749999999999983,1.5346032748608576,0.9267146592149724,1.1900144225886522,1.3106311386740743,2.3087321000860856,0.00014999250037498125,-0.011749999999999983,0.011749999999999983,849.1191454355469,0.5915342712402344,0.0006961596286448434,1.524771201654854,0.6030982116406781,0.8305280140877529,1.0324371123676568
4,3001,4000,calibration,4025.4185771387847,4023.8873234154776,6.462507112356479,1.726969677124431,0.9437991129551853,1.2253852634222469,1.3562317774471389,2.7812822572069527,4.999750012499375e-05,-0.0027500000000000024,0.0027500000000000024,1.726318841293337,0.9464982206060295,1.22674858941597,1.3551140637259562,2.7825855287853853,4.999750012499375e-05,-0.0027500000000000024,0.0027500000000000024,1012.3145150375366,0.6024926147460937,0.0005948094564455366,1.721927917725019,0.6580068293948128,0.8349122411587184,1.063661071778668
5,4001,5000,calibration,4981.254132887694,4980.227692089919,6.675559905817708,2.0526058496210937,0.9568620206429572,1.2712786187595713,1.4250328164212738,3.485006311822431,4.999750012499375e-05,-0.0020000000000000018,0.0020000000000000018,2.0521814225878,0.9568347602529617,1.2731394688226045,1.4155385099661915,3.4629476977693128,4.999750012499375e-05,-0.0020000000000000018,0.0020000000000000018,1076.8612562790527,0.609281005859375,0.0005654734721514382,2.053971368893479,0.7236800577351536,0.9259067030491868,1.1755637923190005
6,5001,6000,calibration,5910.37908746503,5909.454248095077,6.846588185328797,2.121474189149861,0.9508095992118523,1.2850183871116299,1.4409056555723414,3.5027941583901963,4.999750012499375e-05,-0.005750000000000005,0.005750000000000005,2.121346573651647,0.9506591997987571,1.285787061565581,1.4452072151176796,3.4932558805493574,4.999750012499375e-05,-0.005750000000000005,0.005750000000000005,1197.7051095565796,0.6144058837890625,0.0005127229222861112,2.124042272197543,0.7021917423739754,0.894563796900384,1.1333781260214022
7,6001,7000,calibration,6818.5872883515085,6817.624490505249,6.989530520500744,2.4414743881083703,0.9591850531699788,1.3103201267029068,1.4760482491648572,4.2214220300592915,4.999750012499375e-05,-0.002250000000000002,0.002250000000000002,2.4417054888345477,0.9623908772645113,1.3101524408632284,1.4735218106234438,4.2538186114122185,4.999750012499375e-05,-0.002250000000000002,0.002250000000000002,1267.7467916904297,0.5999351806640625,0.00047300566000911504,2.441630815873837,0.6702599869488631,0.8788065055971193,1.1416307466185756
8,7001,8000,calibration,7709.207523448144,7708.696840916039,7.112293609320246,2.6434673761842906,0.9216193981571383,1.2836471582161753,1.4572248914422719,4.756121402807247,4.999750012499375e-05,0.000250000000000028,0.000250000000000028,2.642664807618161,0.9185245627575045,1.291036367022272,1.4654852991902936,4.628417744408448,4.999750012499375e-05,0.000250000000000028,0.000250000000000028,1331.1607168174899,0.603384262084961,0.0004530714272864364,2.648182926926095,0.6815672609861902,0.8888809197141361,1.1848109511289935
9,8001,9000,calibration,8586.299613009527,8585.449624664503,7.220046077295039,2.8423878472136255,0.8936930768988769,1.2618856487415753,1.4423467918373587,5.292596644636499,4.999750012499375e-05,-0.0002500000000000002,0.0002500000000000002,2.8420312518016737,0.8954110627792934,1.2685490671909385,1.445222200790596,5.216890710694996,4.999750012499375e-05,-0.0002500000000000002,0.0002500000000000002,1433.8865773012694,0.6154949035644531,0.0004290651895806854,2.8464832838279213,0.7157839921143145,0.9460502633316619,1.3314217760175708
10,9001,10000,calibration,9450.239594502329,9449.927045502278,7.315918307672629,2.931420154252572,0.9063546241965088,1.2757331132263743,1.455284964516775,5.4823591253911115,4.999750012499375e-05,0.0,0.0,2.930595075190007,0.9059830536801947,1.2782134899360247,1.470596300075816,5.439136148765433,4.999750012499375e-05,0.0,0.0,1498.82884762793,0.6152873229980469,0.00041034361244687736,2.929329149462987,0.7277313772099074,1.0121971133437841,1.3293574685506362
