loop,gamma0,gamma1,vertices,zeta_evaluations,zero_source,rule,q,filled_area,mean_count,variance,mean_minus_area,min_count,max_count
1,14.134725141734696,21.02203963877156,61,59,mpmath.zetazero,winding,8,4.714941166224296,4.734375,0.570068359375,0.0194338337757038,4,6
1,14.134725141734696,21.02203963877156,61,59,mpmath.zetazero,winding,16,4.714941166224296,4.70703125,0.5274505615234375,-0.0079099162242961,4,6
1,14.134725141734696,21.02203963877156,61,59,mpmath.zetazero,winding,32,4.714941166224296,4.7138671875,0.5362920761108398,-0.0010739787242961,4,6
2,21.02203963877156,25.01085758014569,61,59,mpmath.zetazero,winding,8,1.4055836848220176,1.40625,0.2724609375,0.0006663151779824,0,2
2,21.02203963877156,25.01085758014569,61,59,mpmath.zetazero,winding,16,1.4055836848220176,1.40625,0.2646484375,0.0006663151779824,0,2
2,21.02203963877156,25.01085758014569,61,59,mpmath.zetazero,winding,32,1.4055836848220176,1.408203125,0.2591514587402344,0.0026194401779824,0,2
3,25.01085758014569,30.424876125859512,61,59,mpmath.zetazero,winding,8,7.736634856226649,7.703125,0.583740234375,-0.0335098562266491,6,9
3,25.01085758014569,30.424876125859512,61,59,mpmath.zetazero,winding,16,7.736634856226649,7.7265625,0.71429443359375,-0.0100723562266491,6,10
3,25.01085758014569,30.424876125859512,61,59,mpmath.zetazero,winding,32,7.736634856226649,7.732421875,0.7076988220214844,-0.0042129812266491,6,10
4,30.424876125859512,32.93506158773919,61,59,mpmath.zetazero,winding,8,0.4511075981150171,0.484375,0.249755859375,0.0332674018849828,0,1
4,30.424876125859512,32.93506158773919,61,59,mpmath.zetazero,winding,16,0.4511075981150171,0.453125,0.247802734375,0.0020174018849828,0,1
4,30.424876125859512,32.93506158773919,61,59,mpmath.zetazero,winding,32,0.4511075981150171,0.44921875,0.2474212646484375,-0.0018888481150171,0,1
5,32.93506158773919,37.58617815882568,61,59,mpmath.zetazero,winding,8,8.275209775468321,8.21875,0.7958984375,-0.0564597754683209,6,10
5,32.93506158773919,37.58617815882568,61,59,mpmath.zetazero,winding,16,8.275209775468321,8.27734375,0.6613616943359375,0.002133974531679,6,10
5,32.93506158773919,37.58617815882568,61,59,mpmath.zetazero,winding,32,8.275209775468321,8.2734375,0.66351318359375,-0.0017722754683209,6,11
6,37.58617815882568,40.9187190121475,61,59,mpmath.zetazero,winding,8,2.497165634184657,2.484375,0.656005859375,-0.012790634184657,1,4
6,37.58617815882568,40.9187190121475,61,59,mpmath.zetazero,winding,16,2.497165634184657,2.48046875,0.5855560302734375,-0.016696884184657,1,4
6,37.58617815882568,40.9187190121475,61,59,mpmath.zetazero,winding,32,2.497165634184657,2.494140625,0.6015281677246094,-0.003025009184657,1,4
7,40.9187190121475,43.327073280915,61,59,mpmath.zetazero,winding,8,0.7511329817657144,0.765625,0.241943359375,0.0144920182342855,0,2
7,40.9187190121475,43.327073280915,61,59,mpmath.zetazero,winding,16,0.7511329817657144,0.75,0.2421875,-0.0011329817657144,0,2
7,40.9187190121475,43.327073280915,61,59,mpmath.zetazero,winding,32,0.7511329817657144,0.7529296875,0.2348546981811523,0.0017967057342855,0,2
8,43.327073280915,48.00515088116716,61,59,mpmath.zetazero,winding,8,14.306090241737376,14.28125,1.1083984375,-0.024840241737376,12,16
8,43.327073280915,48.00515088116716,61,59,mpmath.zetazero,winding,16,14.306090241737376,14.296875,1.107177734375,-0.009215241737376,12,16
8,43.327073280915,48.00515088116716,61,59,mpmath.zetazero,winding,32,14.306090241737376,14.310546875,1.1027793884277344,0.0044566332626239,12,16
9,48.00515088116716,49.7738324776723,61,59,mpmath.zetazero,winding,8,0.2404066974624018,0.21875,0.1708984375,-0.0216566974624018,0,1
9,48.00515088116716,49.7738324776723,61,59,mpmath.zetazero,winding,16,0.2404066974624018,0.23828125,0.1815032958984375,-0.0021254474624018,0,1
9,48.00515088116716,49.7738324776723,61,59,mpmath.zetazero,winding,32,0.2404066974624018,0.2412109375,0.1830282211303711,0.0008042400375981,0,1
10,49.7738324776723,52.970321477714464,61,59,mpmath.zetazero,winding,8,3.4780921946642733,3.421875,0.306396484375,-0.0562171946642733,2,4
10,49.7738324776723,52.970321477714464,61,59,mpmath.zetazero,winding,16,3.4780921946642733,3.484375,0.366943359375,0.0062828053357266,2,5
10,49.7738324776723,52.970321477714464,61,59,mpmath.zetazero,winding,32,3.4780921946642733,3.48046875,0.3687591552734375,0.0023765553357266,2,5
