omega,score
4.000000000000000222e-01,1.324506487925110054e+00
4.005000000000000226e-01,1.753464115154191205e+00
4.010000000000000231e-01,2.157288903552548653e+00
4.015000000000000235e-01,2.510968197677407865e+00
4.020000000000000240e-01,2.807262419904458906e+00
4.025000000000000244e-01,3.050655633864955085e+00
4.030000000000000249e-01,3.247197646024319262e+00
4.035000000000000253e-01,3.401780501318049321e+00
4.040000000000000258e-01,3.517982678181355460e+00
4.045000000000000262e-01,3.598317807690109227e+00
4.050000000000000266e-01,3.644458903729872024e+00
4.055000000000000271e-01,3.657377547067636847e+00
4.060000000000000275e-01,3.637405118360403922e+00
4.065000000000000280e-01,3.584232557271522346e+00
4.070000000000000284e-01,3.496861030388942915e+00
4.075000000000000289e-01,3.373506611231723351e+00
4.080000000000000293e-01,3.211450920968208944e+00
4.085000000000000298e-01,3.006828930831182412e+00
4.090000000000000302e-01,2.754415724598568094e+00
4.095000000000000306e-01,2.447927361551041070e+00
4.100000000000000311e-01,2.083516603742562090e+00
4.105000000000000315e-01,1.671732322700721696e+00
4.110000000000000320e-01,1.240735653062705168e+00
4.115000000000000324e-01,8.331918781891086700e-01
4.120000000000000329e-01,5.063037500783741374e-01
4.125000000000000333e-01,3.259779659619179148e-01
4.130000000000000338e-01,3.216901529748431576e-01
4.135000000000000342e-01,4.424658103474971571e-01
4.140000000000000346e-01,6.034227555386733055e-01
4.145000000000000351e-01,7.434947143076223730e-01
4.150000000000000355e-01,8.387076724506761227e-01
4.155000000000000360e-01,8.854932023626025384e-01
4.160000000000000364e-01,8.846363906033738456e-01
4.165000000000000369e-01,8.411260551062506030e-01
4.170000000000000373e-01,7.649216718059608233e-01
4.175000000000000377e-01,6.655502196752819399e-01
4.180000000000000382e-01,5.526426323254242101e-01
4.185000000000000386e-01,4.371935233407346355e-01
4.190000000000000391e-01,3.318294414485334354e-01
4.195000000000000395e-01,2.524528036915002494e-01
4.200000000000000400e-01,2.121349956462745268e-01
4.205000000000000404e-01,2.115585648773332106e-01
4.210000000000000409e-01,2.390886472969205589e-01
4.215000000000000413e-01,2.794687879663039221e-01
4.220000000000000417e-01,3.209682972986124261e-01
4.225000000000000422e-01,3.569677876704696051e-01
4.230000000000000426e-01,3.845015451780769422e-01
4.235000000000000431e-01,4.025902241538099058e-01
4.240000000000000435e-01,4.112006852390455158e-01
4.245000000000000440e-01,4.110839611490778589e-01
4.250000000000000444e-01,4.034721275131456508e-01
4.255000000000000449e-01,3.890710976528694576e-01
4.260000000000000453e-01,3.683462213983590416e-01
4.265000000000000457e-01,3.431837390613093342e-01
4.270000000000000462e-01,3.176731144736186785e-01
4.275000000000000466e-01,2.968293011420683469e-01
4.280000000000000471e-01,2.840911899203568125e-01
4.285000000000000475e-01,2.798305479051263478e-01
4.290000000000000480e-01,2.820922537272852471e-01
4.295000000000000484e-01,2.882458429299329938e-01
4.300000000000000488e-01,2.959520442992564782e-01
4.305000000000000493e-01,3.032315015322367691e-01
4.310000000000000497e-01,3.084432962941523471e-01
4.315000000000000502e-01,3.107980161267395181e-01
4.320000000000000506e-01,3.108329757390368431e-01
4.325000000000000511e-01,3.101561305689526926e-01
4.330000000000000515e-01,3.108338774805468052e-01
4.335000000000000520e-01,3.149301640709249450e-01
4.340000000000000524e-01,3.237056502507751343e-01
4.345000000000000528e-01,3.367816511700016946e-01
4.350000000000000533e-01,3.527395601889491417e-01
4.355000000000000537e-01,3.704837684954337407e-01
4.360000000000000542e-01,3.895231291145128116e-01
4.365000000000000546e-01,4.093177516044310127e-01
4.370000000000000551e-01,4.290242377040487942e-01
4.375000000000000555e-01,4.479134232964163687e-01
4.380000000000000560e-01,4.655848127952110782e-01
4.385000000000000564e-01,4.815610704996438618e-01
4.390000000000000568e-01,4.949709652430486773e-01
4.395000000000000573e-01,5.048462314019316333e-01
4.400000000000000577e-01,5.104964855650274691e-01
4.405000000000000582e-01,5.115196691853998168e-01
4.410000000000000586e-01,5.076486420690756729e-01
4.415000000000000591e-01,4.986705744661155681e-01
4.420000000000000595e-01,4.844296661163629558e-01
4.425000000000000600e-01,4.648394624436730238e-01
4.430000000000000604e-01,4.399032007223013241e-01
4.435000000000000608e-01,4.098819278792336651e-01
4.440000000000000613e-01,3.757675071255127119e-01
4.445000000000000617e-01,3.399204244818583853e-01
4.450000000000000622e-01,3.063621580254493049e-01
4.455000000000000626e-01,2.803741161916122882e-01
4.460000000000000631e-01,2.676101083946342274e-01
4.465000000000000635e-01,2.729288661604636901e-01
4.470000000000000639e-01,2.989699819315767004e-01
4.475000000000000644e-01,3.449977801064638694e-01
4.480000000000000648e-01,4.067920548472440112e-01
4.485000000000000653e-01,4.777235953406855917e-01
4.490000000000000657e-01,5.504470474388369894e-01
4.495000000000000662e-01,6.184068001249517499e-01
4.500000000000000666e-01,6.765643875128957152e-01
4.505000000000000671e-01,7.214007979298571183e-01
4.510000000000000675e-01,7.506500730429510604e-01
4.515000000000000679e-01,7.630849244735092851e-01
4.520000000000000684e-01,7.584218642738485006e-01
4.525000000000000688e-01,7.372931558570047228e-01
4.530000000000000693e-01,7.012100237775087397e-01
4.535000000000000697e-01,6.524509873722290632e-01
4.540000000000000702e-01,5.938525189261960602e-01
4.545000000000000706e-01,5.285993932465300471e-01
4.550000000000000711e-01,4.602350771204569702e-01
4.555000000000000715e-01,3.929282425296929948e-01
4.560000000000000719e-01,3.315243704824387683e-01
4.565000000000000724e-01,2.809121611679371022e-01
4.570000000000000728e-01,2.450248598773728526e-01
4.575000000000000733e-01,2.259660592705174942e-01
4.580000000000000737e-01,2.232262175375885338e-01
4.585000000000000742e-01,2.333175091870406670e-01
4.590000000000000746e-01,2.505315343758920399e-01
4.595000000000000751e-01,2.686630829027359946e-01
4.600000000000000755e-01,2.827007800726382136e-01
4.605000000000000759e-01,2.897712613020493322e-01
4.610000000000000764e-01,2.894051732814220124e-01
4.615000000000000768e-01,2.834970677420750040e-01
4.620000000000000773e-01,2.760530475886441293e-01
4.625000000000000777e-01,2.724640255739388950e-01
4.630000000000000782e-01,2.782203195953231178e-01
4.635000000000000786e-01,2.978888637017090835e-01
4.640000000000000790e-01,3.353592417413867599e-01
4.645000000000000795e-01,3.944421046137527864e-01
4.650000000000000799e-01,4.778162796820810132e-01
4.655000000000000804e-01,5.844704045494786282e-01
4.660000000000000808e-01,7.080111108431308420e-01
4.665000000000000813e-01,8.380974773634720654e-01
4.670000000000000817e-01,9.642012053824362550e-01
4.675000000000000822e-01,1.078261479468278328e+00
4.680000000000000826e-01,1.175047608699680834e+00
4.685000000000000830e-01,1.251428344953549043e+00
4.690000000000000835e-01,1.305567951629489798e+00
4.695000000000000839e-01,1.336367000784420611e+00
4.700000000000000844e-01,1.343150753503376649e+00
4.705000000000000848e-01,1.325534477406651312e+00
4.710000000000000853e-01,1.283406496975039168e+00
4.715000000000000857e-01,1.217010703116846670e+00
4.720000000000000862e-01,1.127160139555193563e+00
4.725000000000000866e-01,1.015649365812386851e+00
4.730000000000000870e-01,8.859116868644049125e-01
4.735000000000000875e-01,7.438447913654417931e-01
4.740000000000000879e-01,5.985385133546220482e-01
4.745000000000000884e-01,4.623236781567717779e-01
4.750000000000000888e-01,3.488825554011544816e-01
4.755000000000000893e-01,2.689320326506671188e-01
4.760000000000000897e-01,2.261425949060147378e-01
4.765000000000000902e-01,2.158314143310969546e-01
4.770000000000000906e-01,2.275363099686986690e-01
4.775000000000000910e-01,2.502120932129248132e-01
4.780000000000000915e-01,2.759946525978807519e-01
4.785000000000000919e-01,3.009092570604353645e-01
4.790000000000000924e-01,3.238701089661442656e-01
4.795000000000000928e-01,3.456406677665395111e-01
4.800000000000000933e-01,3.683505581717909094e-01
4.805000000000000937e-01,3.951376006066644186e-01
4.810000000000000941e-01,4.289644204160635299e-01
4.815000000000000946e-01,4.702862033039512113e-01
4.820000000000000950e-01,5.155652168411114511e-01
4.825000000000000955e-01,5.587745212282861917e-01
4.830000000000000959e-01,5.941710391020313953e-01
4.835000000000000964e-01,6.177589987735081500e-01
4.840000000000000968e-01,6.273576902412515421e-01
4.845000000000000973e-01,6.221941467344576093e-01
4.850000000000000977e-01,6.025390854383144701e-01
4.855000000000000981e-01,5.694970800749367124e-01
4.860000000000000986e-01,5.249197025277033690e-01
4.865000000000000990e-01,4.714090183854359184e-01
4.870000000000000995e-01,4.124027265889173566e-01
4.875000000000000999e-01,3.523247582234452779e-01
4.880000000000001004e-01,2.967265468879566326e-01
4.885000000000001008e-01,2.521208871628429771e-01
4.890000000000001013e-01,2.247193884651099149e-01
4.895000000000001017e-01,2.175288946034448778e-01
4.900000000000001021e-01,2.280245746871791268e-01
4.905000000000001026e-01,2.497513156805303836e-01
4.910000000000001030e-01,2.761347189556366821e-01
4.915000000000001035e-01,3.026573608668844950e-01
4.920000000000001039e-01,3.267754739033510991e-01
4.925000000000001044e-01,3.467719240373264289e-01
4.930000000000001048e-01,3.609313053772542079e-01
4.935000000000001052e-01,3.677523181725153578e-01
4.940000000000001057e-01,3.667049855809562109e-01
4.945000000000001061e-01,3.588122362036326729e-01
4.950000000000001066e-01,3.468982588001262579e-01
4.955000000000001070e-01,3.355249029631707791e-01
4.960000000000001075e-01,3.303186808297243759e-01
4.965000000000001079e-01,3.363934944542090189e-01
4.970000000000001084e-01,3.563727890523487596e-01
4.975000000000001088e-01,3.889968772141196851e-01
4.980000000000001092e-01,4.290966052286084853e-01
4.985000000000001097e-01,4.695358879988965062e-01
4.990000000000001101e-01,5.041804757825274486e-01
4.995000000000001106e-01,5.292357420654567601e-01
5.000000000000001110e-01,5.416882588822851119e-01
5.005000000000001670e-01,5.374341402064661821e-01
5.010000000000001119e-01,5.124513333863809361e-01
5.015000000000000568e-01,4.655606622563882024e-01
5.020000000000001128e-01,3.999178843352402257e-01
5.025000000000001688e-01,3.239827032361506931e-01
5.030000000000001137e-01,2.533297646714565698e-01
5.035000000000000586e-01,2.109516374934554128e-01
5.040000000000001146e-01,2.231936970824691113e-01
5.045000000000001705e-01,3.118033330342934173e-01
5.050000000000001155e-01,4.832792391259285725e-01
5.055000000000000604e-01,7.233028210362830723e-01
5.060000000000001164e-01,1.003397702217035059e+00
5.065000000000001723e-01,1.293075304885052734e+00
5.070000000000001172e-01,1.566123189760979750e+00
5.075000000000000622e-01,1.806896667456691308e+00
5.080000000000001181e-01,2.010437685412127529e+00
5.085000000000001741e-01,2.176768928343154386e+00
5.090000000000001190e-01,2.307381797535758672e+00
5.095000000000000639e-01,2.403925329847999670e+00
5.100000000000001199e-01,2.467769307778115095e+00
5.105000000000001759e-01,2.499866497933113330e+00
5.110000000000001208e-01,2.500725161550200859e+00
5.115000000000000657e-01,2.470425077611814846e+00
5.120000000000001217e-01,2.408643221320064143e+00
5.125000000000001776e-01,2.314671119538944666e+00
5.130000000000001226e-01,2.187431124558619100e+00
5.135000000000000675e-01,2.025549878870395393e+00
5.140000000000001235e-01,1.827665604463544202e+00
5.145000000000001794e-01,1.593460490806793528e+00
5.150000000000001243e-01,1.326644451309575201e+00
5.155000000000000693e-01,1.041067090074577761e+00
5.160000000000001252e-01,7.633907905566471586e-01
5.165000000000001812e-01,5.226701190152266419e-01
5.170000000000001261e-01,3.425844539275833545e-01
5.175000000000000711e-01,2.383738254183095928e-01
5.180000000000001270e-01,2.070191143270772027e-01
5.185000000000001830e-01,2.268268730990971593e-01
5.190000000000001279e-01,2.707917251568024986e-01
5.195000000000000728e-01,3.176566943954913236e-01
5.200000000000001288e-01,3.548777443154733091e-01
5.205000000000001847e-01,3.767487340871140677e-01
5.210000000000001297e-01,3.819172385919994972e-01
5.215000000000000746e-01,3.722666880140511614e-01
5.220000000000001306e-01,3.515564858796637604e-01
5.225000000000001865e-01,3.237130994894592551e-01
5.230000000000001315e-01,2.929055465186481966e-01
5.235000000000000764e-01,2.642957548305273630e-01
5.240000000000001323e-01,2.436994370897675455e-01
5.245000000000001883e-01,2.360428560546911358e-01
5.250000000000001332e-01,2.433055580347640023e-01
5.255000000000000782e-01,2.635209206805051441e-01
5.260000000000001341e-01,2.919190033150523278e-01
5.265000000000001901e-01,3.232738347519895639e-01
5.270000000000001350e-01,3.539114308782713159e-01
5.275000000000000799e-01,3.825043873502117497e-01
5.280000000000001359e-01,4.090824014137530718e-01
5.285000000000001918e-01,4.330915405798032580e-01
5.290000000000001368e-01,4.529776174253267729e-01
5.295000000000000817e-01,4.672611730706571764e-01
5.300000000000001377e-01,4.751160982792297927e-01
5.305000000000001936e-01,4.762787464084156097e-01
5.310000000000001386e-01,4.709792272768072996e-01
5.315000000000000835e-01,4.600076706387573044e-01
5.320000000000001394e-01,4.447389575502048165e-01
5.325000000000001954e-01,4.270979879391880729e-01
5.330000000000001403e-01,4.095536822834016100e-01
5.335000000000000853e-01,3.952433416193804616e-01
5.340000000000001412e-01,3.881450156212688518e-01
5.345000000000001972e-01,3.925939964744221133e-01
5.350000000000001421e-01,4.114899122379454544e-01
5.355000000000000870e-01,4.444507565207266309e-01
5.360000000000001430e-01,4.877552856386405677e-01
5.365000000000001990e-01,5.357191076985986511e-01
5.370000000000001439e-01,5.823162950934190896e-01
5.375000000000000888e-01,6.223367642613081285e-01
5.380000000000001448e-01,6.519130789464836484e-01
5.385000000000002007e-01,6.685882364840518566e-01
5.390000000000001457e-01,6.711417639583878714e-01
5.395000000000000906e-01,6.594015678950287951e-01
5.400000000000001465e-01,6.341587200970316696e-01
5.405000000000002025e-01,5.971629710187503770e-01
5.410000000000001474e-01,5.511536259089389045e-01
5.415000000000000924e-01,4.998946883465766322e-01
5.420000000000001483e-01,4.480355024479969472e-01
5.425000000000002043e-01,4.003295883595850979e-01
5.430000000000001492e-01,3.600931156088450491e-01
5.435000000000000941e-01,3.282719033362332395e-01
5.440000000000001501e-01,3.045967454222227588e-01
5.445000000000002061e-01,2.896965262612744008e-01
5.450000000000001510e-01,2.858108102910474901e-01
5.455000000000000959e-01,2.950689585845724383e-01
5.460000000000001519e-01,3.165470456392042164e-01
5.465000000000002078e-01,3.459119511683032555e-01
5.470000000000001528e-01,3.779241414656705489e-01
5.475000000000000977e-01,4.079938636954404396e-01
5.480000000000001537e-01,4.321921729034402526e-01
5.485000000000002096e-01,4.471255375430168155e-01
5.490000000000001545e-01,4.501889410283107518e-01
5.495000000000000995e-01,4.399047347199622204e-01
5.500000000000001554e-01,4.160341594359214246e-01
5.505000000000002114e-01,3.795060905896326942e-01
5.510000000000001563e-01,3.325222021286204921e-01
5.515000000000001013e-01,2.792604856262886903e-01
5.520000000000001572e-01,2.273662905938985124e-01
5.525000000000002132e-01,1.898278129246654955e-01
5.530000000000001581e-01,1.852636990489994195e-01
5.535000000000001030e-01,2.320307269042261034e-01
5.540000000000001590e-01,3.362451151720934339e-01
5.545000000000002149e-01,4.881580680620410395e-01
5.550000000000001599e-01,6.712177278962297988e-01
5.555000000000001048e-01,8.686584636891897526e-01
5.560000000000001608e-01,1.064490858936632867e+00
5.565000000000002167e-01,1.245851463782856383e+00
5.570000000000001616e-01,1.404857101956550114e+00
5.575000000000001066e-01,1.537568321550212946e+00
5.580000000000001625e-01,1.642281958084032656e+00
5.585000000000002185e-01,1.718420230096307622e+00
5.590000000000001634e-01,1.765934501559165426e+00
5.595000000000001084e-01,1.784964396494225225e+00
5.600000000000001643e-01,1.775622833880021734e+00
5.605000000000002203e-01,1.737880751881631713e+00
5.610000000000001652e-01,1.671575273288581798e+00
5.615000000000001101e-01,1.576581297874694254e+00
5.620000000000001661e-01,1.453197526060490574e+00
5.625000000000002220e-01,1.302835559111872543e+00
5.630000000000001670e-01,1.129157432167803510e+00
5.635000000000001119e-01,9.397413950305745223e-01
5.640000000000001679e-01,7.477200875830798399e-01
5.645000000000002238e-01,5.713252312343858330e-01
5.650000000000001688e-01,4.296018179188771380e-01
5.655000000000001137e-01,3.362251950034683690e-01
5.660000000000001696e-01,2.922841396707873129e-01
5.665000000000002256e-01,2.855241531615601014e-01
5.670000000000001705e-01,2.994770153571325588e-01
5.675000000000001155e-01,3.207599402533904409e-01
5.680000000000001714e-01,3.408970170876822192e-01
5.685000000000002274e-01,3.555644331487153864e-01
5.690000000000001723e-01,3.632317614387782778e-01
5.695000000000001172e-01,3.637863645582181116e-01
5.700000000000001732e-01,3.576915935941417102e-01
5.705000000000002292e-01,3.462664068484263002e-01
5.710000000000001741e-01,3.327172157878994785e-01
5.715000000000001190e-01,3.218235593430761599e-01
5.720000000000001750e-01,3.171477128115594568e-01
5.725000000000002309e-01,3.195338980554464081e-01
5.730000000000001759e-01,3.283774138961670364e-01
5.735000000000001208e-01,3.424556104939826540e-01
5.740000000000001767e-01,3.602023223476032987e-01
5.745000000000002327e-01,3.798248777174234592e-01
5.750000000000001776e-01,3.990646978365254283e-01
5.755000000000001226e-01,4.152198184597964969e-01
5.760000000000001785e-01,4.257431163868590218e-01
5.765000000000002345e-01,4.289954910151824174e-01
5.770000000000001794e-01,4.247750088184211181e-01
5.775000000000001243e-01,4.144592928708662471e-01
5.780000000000001803e-01,4.001719513954755669e-01
5.785000000000002363e-01,3.826642860386468281e-01
5.790000000000001812e-01,3.605124245275393435e-01
5.795000000000001261e-01,3.326665757750562613e-01
5.800000000000001821e-01,3.012660570736251930e-01
5.805000000000002380e-01,2.721383045163112691e-01
5.810000000000001830e-01,2.533710732087021134e-01
5.815000000000001279e-01,2.534381133227015526e-01
5.820000000000001839e-01,2.794056546369842464e-01
5.825000000000002398e-01,3.347249291582050645e-01
5.830000000000001847e-01,4.184994923371084252e-01
5.835000000000001297e-01,5.261215307582112199e-01
5.840000000000001856e-01,6.482716073747204488e-01
5.845000000000002416e-01,7.727426544597506552e-01
5.850000000000001865e-01,8.894406956980318579e-01
5.855000000000001315e-01,9.920734358299165834e-01
5.860000000000001874e-01,1.077078882849280550e+00
5.865000000000002434e-01,1.142430785566266538e+00
5.870000000000001883e-01,1.186943881162599190e+00
5.875000000000001332e-01,1.209911152346295093e+00
5.880000000000001892e-01,1.210894091032062025e+00
5.885000000000002451e-01,1.189600601223078424e+00
5.890000000000001901e-01,1.145869266750008775e+00
5.895000000000001350e-01,1.079815264556703180e+00
5.900000000000001910e-01,9.921950104118600899e-01
5.905000000000002469e-01,8.850306830360681332e-01
5.910000000000001918e-01,7.624737438250074328e-01
5.915000000000001368e-01,6.316607915614126378e-01
5.920000000000001927e-01,5.029120141779426234e-01
5.925000000000002487e-01,3.885931572829569025e-01
5.930000000000001936e-01,3.006845240503873695e-01
5.935000000000001386e-01,2.473231942172453568e-01
5.940000000000001945e-01,2.287856596205073423e-01
5.945000000000002505e-01,2.366136064048469656e-01
5.950000000000001954e-01,2.589196012038722516e-01
5.955000000000001403e-01,2.861179155888856074e-01
5.960000000000001963e-01,3.123939027915637046e-01
5.965000000000002522e-01,3.347775933869078235e-01
5.970000000000001972e-01,3.518010187818436663e-01
5.975000000000001421e-01,3.624496593508603204e-01
5.980000000000001981e-01,3.661125132871178578e-01
5.985000000000002540e-01,3.635082530543439217e-01
5.990000000000001990e-01,3.577163402189592056e-01
5.995000000000001439e-01,3.543891058551976170e-01
6.000000000000001998e-01,3.601850500358017015e-01
6.005000000000002558e-01,3.805526363348125662e-01
6.010000000000002007e-01,4.198768325098891085e-01
6.015000000000001457e-01,4.817263356003856356e-01
