omega,direct_score,smooth_score
4.000000000000000222e-01,1.324506487925110054e+00,2.086120065187599515e+00
4.005000000000000226e-01,1.753464115154191205e+00,2.211825754789964016e+00
4.010000000000000231e-01,2.157288903552548653e+00,2.336218561173376784e+00
4.015000000000000235e-01,2.510968197677407865e+00,2.444402618858043219e+00
4.020000000000000240e-01,2.807262419904458906e+00,2.538937882771689747e+00
4.025000000000000244e-01,3.050655633864955085e+00,2.620356207859187769e+00
4.030000000000000249e-01,3.247197646024319262e+00,2.682473956425682537e+00
4.035000000000000253e-01,3.401780501318049321e+00,2.737066251602701339e+00
4.040000000000000258e-01,3.517982678181355460e+00,2.783186423946227173e+00
4.045000000000000262e-01,3.598317807690109227e+00,2.807102644805462788e+00
4.050000000000000266e-01,3.644458903729872024e+00,2.819699389907737164e+00
4.055000000000000271e-01,3.657377547067636847e+00,2.816413253682314100e+00
4.060000000000000275e-01,3.637405118360403922e+00,2.795373493583043878e+00
4.065000000000000280e-01,3.584232557271522346e+00,2.770197165917759108e+00
4.070000000000000284e-01,3.496861030388942915e+00,2.740538836003976630e+00
4.075000000000000289e-01,3.373506611231723351e+00,2.687607466195123695e+00
4.080000000000000293e-01,3.211450920968208944e+00,2.623510054904044431e+00
4.085000000000000298e-01,3.006828930831182412e+00,2.544935554391904553e+00
4.090000000000000302e-01,2.754415724598568094e+00,2.457860896896001179e+00
4.095000000000000306e-01,2.447927361551041070e+00,2.359703036725792291e+00
4.100000000000000311e-01,2.083516603742562090e+00,2.246705965166139407e+00
4.105000000000000315e-01,1.671732322700721696e+00,2.115780431371528270e+00
4.110000000000000320e-01,1.240735653062705168e+00,1.972706030724710402e+00
4.115000000000000324e-01,8.331918781891086700e-01,1.800130944147574796e+00
4.120000000000000329e-01,5.063037500783741374e-01,1.661563724799767439e+00
4.125000000000000333e-01,3.259779659619179148e-01,1.481632779751910212e+00
4.130000000000000338e-01,3.216901529748431576e-01,1.322652489624789984e+00
4.135000000000000342e-01,4.424658103474971571e-01,1.216280811698126518e+00
4.140000000000000346e-01,6.034227555386733055e-01,1.126064028681709406e+00
4.145000000000000351e-01,7.434947143076223730e-01,1.035102378169273418e+00
4.150000000000000355e-01,8.387076724506761227e-01,9.589529364636915076e-01
4.155000000000000360e-01,8.854932023626025384e-01,8.926384381981333771e-01
4.160000000000000364e-01,8.846363906033738456e-01,8.393850747691036229e-01
4.165000000000000369e-01,8.411260551062506030e-01,8.005073500402509756e-01
4.170000000000000373e-01,7.649216718059608233e-01,7.577256120842434939e-01
4.175000000000000377e-01,6.655502196752819399e-01,7.198775643989502315e-01
4.180000000000000382e-01,5.526426323254242101e-01,6.810885059284099707e-01
4.185000000000000386e-01,4.371935233407346355e-01,6.472769394568035350e-01
4.190000000000000391e-01,3.318294414485334354e-01,6.137252035850725429e-01
4.195000000000000395e-01,2.524528036915002494e-01,5.826154735789622618e-01
4.200000000000000400e-01,2.121349956462745268e-01,5.557124230146521793e-01
4.205000000000000404e-01,2.115585648773332106e-01,5.367189855678456967e-01
4.210000000000000409e-01,2.390886472969205589e-01,5.199550651038011839e-01
4.215000000000000413e-01,2.794687879663039221e-01,5.018983055063603871e-01
4.220000000000000417e-01,3.209682972986124261e-01,4.827108074772438751e-01
4.225000000000000422e-01,3.569677876704696051e-01,4.615840177907004072e-01
4.230000000000000426e-01,3.845015451780769422e-01,4.389706428451934928e-01
4.235000000000000431e-01,4.025902241538099058e-01,4.166258813823925378e-01
4.240000000000000435e-01,4.112006852390455158e-01,4.039557390171102935e-01
4.245000000000000440e-01,4.110839611490778589e-01,3.924756579761707886e-01
4.250000000000000444e-01,4.034721275131456508e-01,3.831422138803214361e-01
4.255000000000000449e-01,3.890710976528694576e-01,3.726468368869998438e-01
4.260000000000000453e-01,3.683462213983590416e-01,3.624810740172508816e-01
4.265000000000000457e-01,3.431837390613093342e-01,3.561386758049388535e-01
4.270000000000000462e-01,3.176731144736186785e-01,3.478003269484001847e-01
4.275000000000000466e-01,2.968293011420683469e-01,3.395500133087819283e-01
4.280000000000000471e-01,2.840911899203568125e-01,3.304936293190132712e-01
4.285000000000000475e-01,2.798305479051263478e-01,3.177621338923627969e-01
4.290000000000000480e-01,2.820922537272852471e-01,3.065697151576555757e-01
4.295000000000000484e-01,2.882458429299329938e-01,2.987698701812190327e-01
4.300000000000000488e-01,2.959520442992564782e-01,2.929242586950173699e-01
4.305000000000000493e-01,3.032315015322367691e-01,2.889792984383856012e-01
4.310000000000000497e-01,3.084432962941523471e-01,2.924411126917729753e-01
4.315000000000000502e-01,3.107980161267395181e-01,2.972015710094852992e-01
4.320000000000000506e-01,3.108329757390368431e-01,3.038297449748477708e-01
4.325000000000000511e-01,3.101561305689526926e-01,3.094537057503770061e-01
4.330000000000000515e-01,3.108338774805468052e-01,3.163055686279286904e-01
4.335000000000000520e-01,3.149301640709249450e-01,3.278209862248498974e-01
4.340000000000000524e-01,3.237056502507751343e-01,3.393214244234309396e-01
4.345000000000000528e-01,3.367816511700016946e-01,3.527037532545355680e-01
4.350000000000000533e-01,3.527395601889491417e-01,3.662167671626505028e-01
4.355000000000000537e-01,3.704837684954337407e-01,3.790234617863789124e-01
4.360000000000000542e-01,3.895231291145128116e-01,3.911628563904588352e-01
4.365000000000000546e-01,4.093177516044310127e-01,4.029365576753268785e-01
4.370000000000000551e-01,4.290242377040487942e-01,4.097530690153420307e-01
4.375000000000000555e-01,4.479134232964163687e-01,4.134936712868646502e-01
4.380000000000000560e-01,4.655848127952110782e-01,4.146255125992278634e-01
4.385000000000000564e-01,4.815610704996438618e-01,4.129758691239461266e-01
4.390000000000000568e-01,4.949709652430486773e-01,4.154849891901902237e-01
4.395000000000000573e-01,5.048462314019316333e-01,4.136317627866127888e-01
4.400000000000000577e-01,5.104964855650274691e-01,4.071647572600191611e-01
4.405000000000000582e-01,5.115196691853998168e-01,4.002896329322923608e-01
4.410000000000000586e-01,5.076486420690756729e-01,3.944224152626361612e-01
4.415000000000000591e-01,4.986705744661155681e-01,3.889985560509802154e-01
4.420000000000000595e-01,4.844296661163629558e-01,3.881940059471298832e-01
4.425000000000000600e-01,4.648394624436730238e-01,3.884856441325156284e-01
4.430000000000000604e-01,4.399032007223013241e-01,3.899384346742414964e-01
4.435000000000000608e-01,4.098819278792336651e-01,3.896062514576598135e-01
4.440000000000000613e-01,3.757675071255127119e-01,3.875684307904480597e-01
4.445000000000000617e-01,3.399204244818583853e-01,3.850596456045337623e-01
4.450000000000000622e-01,3.063621580254493049e-01,3.823641135639345157e-01
4.455000000000000626e-01,2.803741161916122882e-01,3.806956847011054301e-01
4.460000000000000631e-01,2.676101083946342274e-01,3.867984679740675280e-01
4.465000000000000635e-01,2.729288661604636901e-01,3.990474005912908462e-01
4.470000000000000639e-01,2.989699819315767004e-01,4.137301998549435811e-01
4.475000000000000644e-01,3.449977801064638694e-01,4.275997639721248467e-01
4.480000000000000648e-01,4.067920548472440112e-01,4.409019438623498210e-01
4.485000000000000653e-01,4.777235953406855917e-01,4.520870276135275923e-01
4.490000000000000657e-01,5.504470474388369894e-01,4.608252544151295038e-01
4.495000000000000662e-01,6.184068001249517499e-01,4.648524234362699237e-01
4.500000000000000666e-01,6.765643875128957152e-01,4.693461236660605995e-01
4.505000000000000671e-01,7.214007979298571183e-01,4.718270561166225119e-01
4.510000000000000675e-01,7.506500730429510604e-01,4.759338135882650311e-01
4.515000000000000679e-01,7.630849244735092851e-01,4.825911411014334185e-01
4.520000000000000684e-01,7.584218642738485006e-01,4.830722470742317975e-01
4.525000000000000688e-01,7.372931558570047228e-01,4.822815570873855151e-01
4.530000000000000693e-01,7.012100237775087397e-01,4.797310092829262795e-01
4.535000000000000697e-01,6.524509873722290632e-01,4.729833847002644087e-01
4.540000000000000702e-01,5.938525189261960602e-01,4.610971587066268751e-01
4.545000000000000706e-01,5.285993932465300471e-01,4.474944051137310086e-01
4.550000000000000711e-01,4.602350771204569702e-01,4.329136153862273018e-01
4.555000000000000715e-01,3.929282425296929948e-01,4.149138555070681633e-01
4.560000000000000719e-01,3.315243704824387683e-01,3.950012412563514985e-01
4.565000000000000724e-01,2.809121611679371022e-01,3.813508365597754191e-01
4.570000000000000728e-01,2.450248598773728526e-01,3.823711818592076539e-01
4.575000000000000733e-01,2.259660592705174942e-01,3.822885203594783565e-01
4.580000000000000737e-01,2.232262175375885338e-01,3.817883781287811917e-01
4.585000000000000742e-01,2.333175091870406670e-01,3.823552647403342664e-01
4.590000000000000746e-01,2.505315343758920399e-01,3.841021907305063876e-01
4.595000000000000751e-01,2.686630829027359946e-01,3.887334552430853907e-01
